ID,event,dir,audio_volume,visual_type,audio_angle,audio_type,answer,reaction_time,valid
400,4,1,0,0,20,0,1,922,True
400,5,-1,0,0,-30,0,0,811,True
400,6,1,0,0,10,0,1,757,True
400,7,-1,0,0,30,0,1,722,True
400,8,1,0,0,10,0,1,755,True
400,9,-1,0,0,15,0,1,1177,True
400,10,1,0,0,0,0,1,688,True
400,11,-1,0,0,-20,0,0,623,True
400,12,1,0,0,10,0,1,766,True
400,13,-1,0,0,15,0,1,700,True
400,14,1,0,0,5,0,1,922,True
400,15,-1,0,0,-5,0,0,800,True
400,16,1,0,0,-5,0,0,756,True
400,17,-1,0,0,0,0,0,745,True
400,18,1,0,0,5,0,1,811,True
400,19,-1,0,0,-10,0,0,623,True
400,20,1,0,0,-10,0,0,788,True
400,21,-1,0,0,-30,0,0,543,True
400,22,1,0,0,-15,0,0,709,True
400,23,-1,0,0,5,0,1,688,True
400,24,1,0,0,0,0,1,610,True
400,25,-1,0,0,20,0,1,678,True
400,26,1,0,0,-5,0,0,578,True
400,27,-1,0,0,-15,0,0,1910,True
400,28,1,0,0,-10,0,0,678,True
400,29,-1,0,0,0,0,1,577,True
400,30,1,0,0,20,0,1,688,True
400,31,-1,0,0,5,0,1,688,True
400,32,1,0,0,-5,0,0,967,True
400,33,-1,0,0,10,0,1,655,True
400,34,1,0,0,-20,0,0,622,True
400,35,-1,0,0,-10,0,0,988,True
400,36,1,0,0,30,0,1,922,True
400,37,-1,0,0,5,0,1,911,True
400,38,1,0,0,0,0,0,954,True
400,39,-1,0,0,-15,0,0,1444,True
400,40,1,0,0,-15,0,0,823,True
400,41,-1,0,0,10,0,1,700,True
400,42,1,0,0,5,0,1,710,True
400,43,-1,0,0,20,0,1,543,True
400,44,1,0,0,-20,0,0,677,True
400,45,-1,0,0,-15,0,0,622,True
400,46,1,0,0,15,0,1,589,True
400,47,-1,0,0,-10,0,0,966,True
400,48,1,0,0,15,0,1,767,True
400,49,-1,0,0,-30,0,0,778,True
400,50,1,0,0,-20,0,0,767,True
400,51,-1,0,0,30,0,1,688,True
400,52,1,0,0,30,0,1,755,True
400,53,-1,0,0,20,0,1,1455,True
400,54,1,0,0,15,0,1,844,True
400,55,-1,0,0,-5,0,0,611,True
400,56,1,0,0,20,0,1,700,True
400,57,-1,0,0,-5,0,0,612,True
400,58,1,0,0,-15,0,0,989,True
400,59,-1,0,0,15,0,1,722,True
400,60,1,0,0,-30,0,0,633,True
400,61,-1,0,0,0,0,1,611,True
400,62,1,0,0,-30,0,0,789,True
400,63,-1,0,0,-20,0,0,644,True
400,64,1,0,0,-10,0,0,778,True
400,65,-1,0,0,10,0,1,589,True
400,66,1,0,0,30,0,1,622,True
400,67,-1,0,0,-20,0,0,677,True
400,68,1,0,0,-30,0,0,634,True
400,69,-1,0,0,30,0,1,744,True
401,4,1,0,0,5,0,1,1533,True
401,5,-1,0,0,-5,0,1,1489,True
401,6,1,0,0,-5,0,1,932,True
401,7,-1,0,0,-15,0,0,1232,True
401,8,1,0,0,0,0,1,989,True
401,9,-1,0,0,20,0,1,922,True
401,10,1,0,0,15,0,1,1621,True
401,11,-1,0,0,-20,0,0,1977,True
401,12,1,0,0,-10,0,0,1766,True
401,13,-1,0,0,-30,0,0,1032,True
401,14,1,0,0,0,0,1,1178,True
401,15,-1,0,0,15,0,1,1311,True
401,16,1,0,0,-30,0,0,1199,True
401,17,-1,0,0,5,0,1,1344,True
401,18,1,0,0,-15,0,0,1156,True
401,19,-1,0,0,-20,0,0,977,True
401,20,1,0,0,5,0,1,910,True
401,21,-1,0,0,-10,0,1,1132,True
401,22,1,0,0,-30,0,0,1090,True
401,23,-1,0,0,-15,0,0,977,True
401,24,1,0,0,0,0,1,1077,True
401,25,-1,0,0,0,0,1,955,True
401,26,1,0,0,10,0,1,855,True
401,27,-1,0,0,15,0,1,1854,True
401,28,1,0,0,-20,0,0,1699,True
401,29,-1,0,0,-10,0,0,823,True
401,30,1,0,0,-10,0,0,1155,True
401,31,-1,0,0,0,0,0,833,True
401,32,1,0,0,-5,0,0,855,True
401,33,-1,0,0,30,0,1,988,True
401,34,1,0,0,-20,0,0,910,True
401,35,-1,0,0,-20,0,0,1200,True
401,36,1,0,0,15,0,1,1077,True
401,37,-1,0,0,30,0,1,1298,True
401,38,1,0,0,5,0,1,2599,True
401,39,-1,0,0,0,0,1,1433,True
401,40,1,0,0,20,0,1,944,True
401,41,-1,0,0,-5,0,0,844,True
401,42,1,0,0,30,0,1,854,True
401,43,-1,0,0,20,0,1,866,True
401,44,1,0,0,15,0,1,845,True
401,45,-1,0,0,5,0,0,766,True
401,46,1,0,0,30,0,1,733,True
401,47,-1,0,0,30,0,1,876,True
401,48,1,0,0,20,0,1,855,True
401,49,-1,0,0,20,0,1,1055,True
401,50,1,0,0,-15,0,0,1143,True
401,51,-1,0,0,10,0,1,933,True
